tm1,tm2,gm_type,s1,s2,w1,w2
abilene-christian,arlington-baptist,REG,107,54,1,0
abilene-christian,arkansas-state,REG,94,73,1,0
abilene-christian,denver,REG,67,61,1,0
abilene-christian,elon,REG,72,56,1,0
abilene-christian,pacific,REG,73,71,1,0
abilene-christian,california-riverside,REG,60,48,1,0
abilene-christian,howard-payne,REG,90,53,1,0
abilene-christian,pepperdine,REG,62,77,0,1
abilene-christian,campbell,REG,83,68,1,0
abilene-christian,schreiner,REG,93,53,1,0
abilene-christian,texas-tech,REG,48,82,0,1
abilene-christian,southeast-missouri-state,REG,70,68,1,0
abilene-christian,mcmurry,REG,88,40,1,0
abilene-christian,new-orleans,REG,68,58,1,0
abilene-christian,sam-houston-state,REG,68,71,0,1
abilene-christian,mcneese-state,REG,73,72,1,0
abilene-christian,southeastern-louisiana,REG,75,72,1,0
abilene-christian,houston-baptist,REG,75,68,1,0
abilene-christian,northwestern-state,REG,78,69,1,0
abilene-christian,stephen-f-austin,REG,60,61,0,1
abilene-christian,central-arkansas,REG,79,56,1,0
abilene-christian,texas-am-corpus-christi,REG,78,71,1,0
abilene-christian,lamar,REG,75,64,1,0
abilene-christian,sam-houston-state,REG,85,90,0,1
abilene-christian,nicholls-state,REG,64,48,1,0
abilene-christian,incarnate-word,REG,68,48,1,0
abilene-christian,southeastern-louisiana,REG,66,75,0,1
abilene-christian,texas-am-corpus-christi,REG,73,64,1,0
abilene-christian,central-arkansas,REG,67,55,1,0
abilene-christian,stephen-f-austin,REG,72,58,1,0
abilene-christian,incarnate-word,REG,81,52,1,0
abilene-christian,southeastern-louisiana,CTOURN,69,66,1,0
abilene-christian,new-orleans,CTOURN,77,60,1,0
arizona-state,cal-state-fullerton,REG,102,94,1,0
arizona-state,mcneese-state,REG,80,52,1,0
arizona-state,long-beach-state,REG,90,58,1,0
arizona-state,mississippi-state,REG,72,67,1,0
arizona-state,utah-state,REG,87,82,1,0
arizona-state,nebraska-omaha,REG,89,71,1,0
arizona-state,texas-southern,REG,83,71,1,0
arizona-state,nevada,REG,66,72,0,1
arizona-state,georgia,REG,76,74,1,0
arizona-state,vanderbilt,REG,65,81,0,1
arizona-state,kansas,REG,80,76,1,0
arizona-state,princeton,REG,66,67,0,1
arizona-state,utah,REG,86,96,0,1
arizona-state,colorado,REG,83,61,1,0
arizona-state,california,REG,80,66,1,0
arizona-state,stanford,REG,71,85,0,1
arizona-state,oregon-state,REG,70,67,1,0
arizona-state,oregon,REG,78,64,1,0
arizona-state,ucla,REG,84,73,1,0
arizona-state,southern-california,REG,67,69,0,1
arizona-state,arizona,REG,95,88,1,0
arizona-state,washington-state,REG,70,91,0,1
arizona-state,washington,REG,75,63,1,0
arizona-state,colorado,REG,73,77,0,1
arizona-state,utah,REG,98,87,1,0
arizona-state,stanford,REG,80,62,1,0
arizona-state,california,REG,69,59,1,0
arizona-state,oregon,REG,51,79,0,1
arizona-state,oregon-state,REG,74,71,1,0
arizona-state,arizona,REG,72,64,1,0
arizona-state,ucla,CTOURN,83,72,1,0
arizona-state,oregon,CTOURN,75,79,0,1
auburn,south-alabama,REG,101,58,1,0
auburn,washington,REG,88,66,1,0
auburn,mississippi-college,REG,103,52,1,0
auburn,xavier,REG,88,79,1,0
auburn,duke,REG,72,78,0,1
auburn,arizona,REG,73,57,1,0
auburn,saint-peters,REG,99,49,1,0
auburn,north-carolina-asheville,REG,67,41,1,0
auburn,dayton,REG,82,72,1,0
auburn,alabama-birmingham,REG,75,71,1,0
auburn,north-carolina-state,REG,71,78,0,1
auburn,murray-state,REG,93,88,1,0
auburn,north-florida,REG,95,49,1,0
auburn,mississippi,REG,67,82,0,1
auburn,georgia,REG,93,78,1,0
auburn,texas-am,REG,85,66,1,0
auburn,kentucky,REG,80,82,0,1
auburn,south-carolina,REG,77,80,0,1
auburn,mississippi-state,REG,84,92,0,1
auburn,missouri,REG,92,58,1,0
auburn,alabama,REG,84,63,1,0
auburn,florida,REG,76,62,1,0
auburn,louisiana-state,REG,78,83,0,1
auburn,mississippi,REG,55,60,0,1
auburn,vanderbilt,REG,64,53,1,0
auburn,arkansas,REG,79,56,1,0
auburn,kentucky,REG,53,80,0,1
auburn,georgia,REG,78,75,1,0
auburn,mississippi-state,REG,80,75,1,0
auburn,alabama,REG,66,60,1,0
auburn,tennessee,REG,84,80,1,0
auburn,missouri,CTOURN,81,71,1,0
auburn,south-carolina,CTOURN,73,64,1,0
auburn,florida,CTOURN,65,62,1,0
auburn,tennessee,CTOURN,84,64,1,0
baylor,texas-southern,REG,69,72,0,1
baylor,southern,REG,80,53,1,0
baylor,prairie-view,REG,91,80,1,0
baylor,nicholls-state,REG,81,54,1,0
baylor,mississippi,REG,70,78,0,1
baylor,george-mason,REG,72,61,1,0
baylor,south-dakota,REG,63,57,1,0
baylor,wichita-state,REG,63,71,0,1
baylor,arizona,REG,58,49,1,0
baylor,stephen-f-austin,REG,58,59,0,1
baylor,oregon,REG,57,47,1,0
baylor,new-orleans,REG,84,44,1,0
